130,tidy,pytorch," error: 2 adjacent parameters of 'xnn_create_argmax_pooling2d_nhwc_f32' of convertible types are easily swapped by mistake [bugprone-easily-swappable-parameters,-warnings-as-errors]"
130,tidy,pytorch, note: the first parameter in the range is 'pooling_width'
130,tidy,pytorch, note: the last parameter in the range is 'channels'
130,tidy,pytorch, note: 
130,tidy,pytorch," note: 'uint32_t' and 'size_t' may be implicitly converted: 'uint32_t' (as 'unsigned int') -> 'size_t' (as 'unsigned long'), 'size_t' (as 'unsigned long') -> 'uint32_t' (as 'unsigned int')"
130,tidy,pytorch," error: 3 adjacent parameters of 'xnn_create_argmax_pooling2d_nhwc_f32' of convertible types are easily swapped by mistake [bugprone-easily-swappable-parameters,-warnings-as-errors]"
130,tidy,pytorch, note: the first parameter in the range is 'input_pixel_stride'
130,tidy,pytorch, note: the last parameter in the range is 'flags'
130,tidy,pytorch, note: 
130,tidy,pytorch," note: 'size_t' and 'uint32_t' may be implicitly converted: 'size_t' (as 'unsigned long') -> 'uint32_t' (as 'unsigned int'), 'uint32_t' (as 'unsigned int') -> 'size_t' (as 'unsigned long')"
130,tidy,pytorch," error: 2 adjacent parameters of 'xnn_setup_argmax_pooling2d_nhwc_f32' of similar type ('size_t') are easily swapped by mistake [bugprone-easily-swappable-parameters,-warnings-as-errors]"
130,tidy,pytorch, note: the first parameter in the range is 'batch_size'
130,tidy,pytorch, note: the last parameter in the range is 'input_height'
131,tidy,pytorch," error: the parameter 'cdata' is copied for each invocation but only used as a const reference; consider making it a const reference [performance-unnecessary-value-param,-warnings-as-errors]"
131,tidy,pytorch," error: 2 adjacent parameters of 'THPGenerator_pynew' of similar type ('PyObject *') are easily swapped by mistake [bugprone-easily-swappable-parameters,-warnings-as-errors]"
131,tidy,pytorch, note: the first parameter in the range is 'args'
131,tidy,pytorch, note: the last parameter in the range is 'kwargs'
131,tidy,pytorch," error: 2 adjacent parameters of 'THPGenerator_getState' of similar type ('PyObject *') are easily swapped by mistake [bugprone-easily-swappable-parameters,-warnings-as-errors]"
131,tidy,pytorch, note: the first parameter in the range is '_self'
131,tidy,pytorch, note: the last parameter in the range is 'noargs'
131,tidy,pytorch," error: 2 adjacent parameters of 'THPGenerator_setState' of similar type ('PyObject *') are easily swapped by mistake [bugprone-easily-swappable-parameters,-warnings-as-errors]"
131,tidy,pytorch, note: the first parameter in the range is '_self'
131,tidy,pytorch, note: the last parameter in the range is '_new_state'
131,tidy,pytorch," error: 2 adjacent parameters of 'THPGenerator_manualSeed' of similar type ('PyObject *') are easily swapped by mistake [bugprone-easily-swappable-parameters,-warnings-as-errors]"
131,tidy,pytorch, note: the first parameter in the range is '_self'
131,tidy,pytorch, note: the last parameter in the range is 'seed'
131,tidy,pytorch," error: 2 adjacent parameters of 'THPGenerator_seed' of similar type ('PyObject *') are easily swapped by mistake [bugprone-easily-swappable-parameters,-warnings-as-errors]"
131,tidy,pytorch, note: the first parameter in the range is '_self'
131,tidy,pytorch, note: the last parameter in the range is 'noargs'
131,tidy,pytorch," error: 2 adjacent parameters of 'THPGenerator_initialSeed' of similar type ('PyObject *') are easily swapped by mistake [bugprone-easily-swappable-parameters,-warnings-as-errors]"
131,tidy,pytorch, note: the first parameter in the range is '_self'
131,tidy,pytorch, note: the last parameter in the range is 'noargs'
131,tidy,pytorch," error: the parameter 'gen' is copied for each invocation but only used as a const reference; consider making it a const reference [performance-unnecessary-value-param,-warnings-as-errors]"
